,Fund Symbol,Mean Annual Return for 10 years,Top 10 Holdings
0,XBI,1.83,"Arrowhead Pharmaceuticals Inc: 1.64, Mirati Therapeutics Inc: 1.57, Exact Sciences Corp: 1.55, Blueprint Medicines Corp: 1.47, Arcturus Therapeutics Holdings Inc: 1.34, Amicus Therapeutics Inc: 1.32, Ultragenyx Pharmaceutical Inc: 1.30, Arena Pharmaceuticals Inc: 1.29, Fate Therapeutics Inc: 1.26, Sage Therapeutics Inc: 1.25"
1,SOXX,1.79,"Qualcomm Inc: 8.29, Texas Instruments Inc: 8.14, Broadcom Inc: 8.06, NVIDIA Corp: 7.50, Intel Corp: 6.96, Micron Technology Inc: 4.43, NXP Semiconductors NV: 4.30, Taiwan Semiconductor Manufacturing Co Ltd ADR: 4.24, Lam Research Corp: 4.07, Analog Devices Inc: 4.06"
2,PSI,1.7,"Skyworks Solutions Inc: 5.06, Lam Research Corp: 5.05, Texas Instruments Inc: 5.04, NVIDIA Corp: 5.03, Microchip Technology Inc: 4.83, KLA Corp: 4.82, Applied Materials Inc: 4.68, Advanced Micro Devices Inc: 4.54, Inphi Corp: 3.35, Cohu Inc: 3.26"
3,XSD,1.69,"SunPower Corp: 4.06, Inphi Corp: 3.65, Monolithic Power Systems Inc: 3.64, Lattice Semiconductor Corp: 3.48, First Solar Inc: 3.36, Xilinx Inc: 3.25, Universal Display Corp: 3.24, Cirrus Logic Inc: 3.20, ON Semiconductor Corp: 3.14, Power Integrations Inc: 3.06"
4,PNQI,1.64,"Alibaba Group Holding Ltd ADR: 8.77, Alphabet Inc Class C: 7.72, Facebook Inc A: 7.71, Amazon.com Inc: 7.49, Salesforce.com Inc: 7.00, Zoom Video Communications Inc: 3.88, Netflix Inc: 3.83, Shopify Inc A: 3.69, Adobe Inc: 3.61, JD.com Inc ADR: 3.31"
5,PTH,1.63,"Amedisys Inc: 5.43, Danaher Corp: 5.34, Thermo Fisher Scientific Inc: 5.03, Horizon Therapeutics PLC: 4.32, Repligen Corp: 4.02, IDEXX Laboratories Inc: 3.78, West Pharmaceutical Services Inc: 3.63, Invitae Corp: 3.59, Seagen Inc Ordinary Shares: 3.30, Humana Inc: 3.19"
6,FDN,1.6,"Amazon.com Inc: 9.57, Facebook Inc A: 7.32, PayPal Holdings Inc: 4.99, Netflix Inc: 4.94, Salesforce.com Inc: 4.71, Zoom Video Communications Inc: 4.50, Alphabet Inc A: 4.17, Alphabet Inc Class C: 4.10, Cisco Systems Inc: 3.89, Snap Inc Class A: 3.48"
7,ITB,1.6,"D.R. Horton Inc: 14.05, Lennar Corp: 12.26, NVR Inc: 8.74, PulteGroup Inc: 6.95, Lowe's Companies Inc: 4.65, Sherwin-Williams Co: 4.65, The Home Depot Inc: 4.52, TopBuild Corp: 3.22, Toll Brothers Inc: 3.08, Masco Corp: 2.93"
8,IGV,1.59,"Microsoft Corp: 8.24, Adobe Inc: 7.85, Salesforce.com Inc: 7.84, Oracle Corp: 6.50, ServiceNow Inc: 5.72, Zoom Video Communications Inc: 5.03, Intuit Inc: 4.94, Activision Blizzard Inc: 3.51, Autodesk Inc: 3.10, DocuSign Inc: 2.23"
9,PSCH,1.58,"NeoGenomics Inc: 5.48, Omnicell Inc: 4.55, AMN Healthcare Services Inc: 3.63, Ensign Group Inc: 3.62, Glaukos Corp: 3.08, Merit Medical Systems Inc: 3.02, Covetrus Inc: 2.94, Conmed Corp: 2.85, Select Medical Holdings Corp: 2.84, HMS Holdings Corp: 2.82"
