,Fund Symbol,Mean Annual Return for 10 years,Top 10 Holdings
0,DXQLX,2.9,"197052NDXML12032020: 74.23, 197052NDXCS12102020: 36.58, Fidelity Inv MM Fds Government Instl: 14.51, 197052ndxubs12102020: 13.67, Invesco QQQ Trust: 6.90"
1,RYVYX,2.8,"Apple Inc: 10.04, Microsoft Corp: 9.80, Amazon.com Inc: 8.74, United States Treasury Bills 0.14%: 3.80, Facebook Inc A: 3.47, Alphabet Inc A: 3.10, Alphabet Inc Class C: 3.02, United States Treasury Bills 0.15%: 2.68, Intel Corp: 2.05, NVIDIA Corp: 1.89"
2,RYVLX,2.8,"Apple Inc: 10.04, Microsoft Corp: 9.80, Amazon.com Inc: 8.74, United States Treasury Bills 0.14%: 3.80, Facebook Inc A: 3.47, Alphabet Inc A: 3.10, Alphabet Inc Class C: 3.02, United States Treasury Bills 0.15%: 2.68, Intel Corp: 2.05, NVIDIA Corp: 1.89"
3,UOPIX,2.79,"Soc 0.035% , 8/3/2020: 15.12, E-mini Nasdaq 100 Future Sept 20: 12.42, Apple Inc: 6.96, Royal Bank of Canada 0.02%: 6.05, Amazon.com Inc: 5.96, Microsoft Corp: 5.87, Cra 0.025% , 8/3/2020: 5.44, Cib 0.01% , 8/3/2020: 2.42, Hsb 0.015% , 8/3/2020: 2.42, Facebook Inc A: 2.30"
4,RYCCX,2.74,"Apple Inc: 10.04, Microsoft Corp: 9.80, Amazon.com Inc: 8.74, United States Treasury Bills 0.14%: 3.80, Facebook Inc A: 3.47, Alphabet Inc A: 3.10, Alphabet Inc Class C: 3.02, United States Treasury Bills 0.15%: 2.68, Intel Corp: 2.05, NVIDIA Corp: 1.89"
5,UOPSX,2.7,"Soc 0.035% , 8/3/2020: 15.12, E-mini Nasdaq 100 Future Sept 20: 12.42, Apple Inc: 6.96, Royal Bank of Canada 0.02%: 6.05, Amazon.com Inc: 5.96, Microsoft Corp: 5.87, Cra 0.025% , 8/3/2020: 5.44, Cib 0.01% , 8/3/2020: 2.42, Hsb 0.015% , 8/3/2020: 2.42, Facebook Inc A: 2.30"
6,INPIX,2.23,"Soc 0.035% , 8/3/2020: 11.65, Amazon.com Inc: 7.60, Facebook Inc A: 5.14, Royal Bank of Canada 0.02%: 4.66, Cra 0.025% , 8/3/2020: 4.19, PayPal Holdings Inc: 3.97, Netflix Inc: 3.68, Cisco Systems Inc: 3.32, Salesforce.com Inc: 3.26, Alphabet Inc A: 2.94"
7,SMPIX,2.19,"NVIDIA Corp: 14.74, Intel Corp: 11.41, Soc 0.035% , 8/3/2020: 9.76, Broadcom Inc: 7.15, Qualcomm Inc: 6.71, Texas Instruments Inc: 6.61, Advanced Micro Devices Inc: 4.83, Royal Bank of Canada 0.02%: 3.90, Cra 0.025% , 8/3/2020: 3.51, Applied Materials Inc: 3.33"
8,INPSX,2.14,"Soc 0.035% , 8/3/2020: 11.65, Amazon.com Inc: 7.60, Facebook Inc A: 5.14, Royal Bank of Canada 0.02%: 4.66, Cra 0.025% , 8/3/2020: 4.19, PayPal Holdings Inc: 3.97, Netflix Inc: 3.68, Cisco Systems Inc: 3.32, Salesforce.com Inc: 3.26, Alphabet Inc A: 2.94"
9,SMPSX,2.1,"NVIDIA Corp: 14.74, Intel Corp: 11.41, Soc 0.035% , 8/3/2020: 9.76, Broadcom Inc: 7.15, Qualcomm Inc: 6.71, Texas Instruments Inc: 6.61, Advanced Micro Devices Inc: 4.83, Royal Bank of Canada 0.02%: 3.90, Cra 0.025% , 8/3/2020: 3.51, Applied Materials Inc: 3.33"
